player_id,Player,DraftYear,Pick,PickBand,text_profile
14,Norman Butz,1947,15,FirstRound,"Giocatore: Norman Butz. Provenienza: Saint Joseph's. Scelto al Draft NBA 1947 con la pick 15. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
15,Fritz Nagy,1947,16,FirstRound,"Giocatore: Fritz Nagy. Provenienza: University of Akron. Scelto al Draft NBA 1947 con la pick 16. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 67.0%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 68.0 a partita, ottimo playmaker e passatore. Segna in media 253.0 punti a partita. Win Shares in carriera: 2.1."
16,Bob Hubbard,1947,17,FirstRound,"Giocatore: Bob Hubbard. Provenienza: Springfield College. Scelto al Draft NBA 1947 con la pick 17. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 67.4%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 29.0 a partita, ottimo playmaker e passatore. Segna in media 224.0 punti a partita. Win Shares in carriera: -0.9."
17,Johnny Knopf,1947,18,FirstRound,"Giocatore: Johnny Knopf. Provenienza: Louisville. Scelto al Draft NBA 1947 con la pick 18. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
18,Red Rocha,1947,19,FirstRound,"Giocatore: Red Rocha. Provenienza: Oregon State. Scelto al Draft NBA 1947 con la pick 19. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 75.9%, buon tiratore di tiri liberi. Rimbalzi: 2747.0 a partita, forte rimbalzista. Assist: 1153.0 a partita, ottimo playmaker e passatore. Segna in media 6362.0 punti a partita. Win Shares in carriera: 47.9."
19,Jack Tingle,1947,20,FirstRound,"Giocatore: Jack Tingle. Provenienza: Kentucky. Scelto al Draft NBA 1947 con la pick 20. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 51.5%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 8.0 a partita, ottimo playmaker e passatore. Segna in media 91.0 punti a partita. Win Shares in carriera: 0.4."
20,John Rusinko,1947,21,FirstRound,"Giocatore: John Rusinko. Provenienza: Penn State. Scelto al Draft NBA 1947 con la pick 21. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
21,Gene Stump,1947,22,FirstRound,"Giocatore: Gene Stump. Provenienza: DePaul. Scelto al Draft NBA 1947 con la pick 22. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 69.2%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 118.0 a partita, ottimo playmaker e passatore. Segna in media 783.0 punti a partita. Win Shares in carriera: 1.1."
22,Jimmy Darden,1947,23,FirstRound,"Giocatore: Jimmy Darden. Provenienza: Denver. Scelto al Draft NBA 1947 con la pick 23. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 68.8%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 67.0 a partita, ottimo playmaker e passatore. Segna in media 211.0 punti a partita. Win Shares in carriera: -0.2."
23,Ed Golub,1947,24,FirstRound,"Giocatore: Ed Golub. Provenienza: High School. Scelto al Draft NBA 1947 con la pick 24. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
24,Jim Kaeding,1947,25,FirstRound,"Giocatore: Jim Kaeding. Provenienza: York College of Pennsylvania. Scelto al Draft NBA 1947 con la pick 25. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
25,Bob Alamo,1947,26,FirstRound,"Giocatore: Bob Alamo. Provenienza: Santa Clara. Scelto al Draft NBA 1947 con la pick 26. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
26,Joe Barry,1947,27,FirstRound,"Giocatore: Joe Barry. Provenienza: High School. Scelto al Draft NBA 1947 con la pick 27. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
27,Herb Wilkinson,1947,28,FirstRound,"Giocatore: Herb Wilkinson. Provenienza: Iowa. Scelto al Draft NBA 1947 con la pick 28. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
28,Frank Broyles,1947,29,FirstRound,"Giocatore: Frank Broyles. Provenienza: Georgia Tech. Scelto al Draft NBA 1947 con la pick 29. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
29,Bill Burke,1947,30,FirstRound,"Giocatore: Bill Burke. Provenienza: St. Mary's College of Maryland. Scelto al Draft NBA 1947 con la pick 30. Fascia di scelta: FirstRound. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
